the washington post magazine	neu	0.0
i do not know about algorithms and what not but i think it is going in order of who is had it	neu	0.0
oh wait nvm it is in the uk	neu	0.0
not always possible but i try	neu	0.0
i think they are i see people tweeting	neu	0.0
the mariachi are singing amor eterno	pos	0.6124
greetings allow me to introduce you to my house techno label on beatport	pos	0.5719
really wish i was going dancing tonight	pos	0.4576
i get so defensive when it comes to my friends do not care who you are	pos	0.218
post truth actual facts the system operates as designed n	pos	0.3182
i still have hope 🇩 🇴	pos	0.4404
another play crosses the line wawrinka closes it out to bring home the 4 fold we are on	pos	0.34
thank you	pos	0.3612
the innocent fiveyearold little boy was killed by	neg	-0.4284
cut my life into pieces this is my last resort n nsuffocation no breathing dont give a fuck if i cut my arm bleedi …	neg	-0.3716
my cutie and our adventures give me life ️ ️ ️ i promise he likes me it was just crazy cold	pos	0.765
adding this to the list of things i can never buy again as i eat the entire bag in one sitting	neu	0.0
im the new kami	neu	0.0
bitches will argue with you over text see you in person and be all smiles	neg	-0.4939
you get what you give but sometimes you give more than you get	neu	0.0
do you ever just get so bored you cry	neg	-0.7274
5 new exercises to boost that boring workout n nhttps	pos	0.1027
i love selena but pls stop	neu	0.0644
shut up bruv — loool you are a funny one	pos	0.4404
i am cryin g	neu	0.0
good tip for men in a relationship if you have a girlfriend than yours the bitch that will knowledge will keep you in a relationship	pos	-0.2263
i have been there too many times	neu	0.0
i was born with a silver spoon in my mouth i will admitt that sure it is helped but also brought it is own issues	pos	0.1655
i miss bri	neg	-0.1531
he edited my ain t no harvestable organs in me anymore lyric from the published version	neg	-0.296
someone on ig followed me called chubbyandinjured 69 bruh lmfao what in the fuck	neg	0.0
so what are you proposing n …	neu	0.0
too much sugar and i like it diy citra showers from and hop yea my hoppy …	pos	0.3612
same tbh	neu	0.0
are you ready	pos	0.3612
ai not nothing like the love of my life ️	neg	-0.3709
i will take you omg	neu	0.0
do not be surprised if when clark donatelli joins the long list of wilkesbarre scranton coaches who have found work in the nhl	neg	-0.1695
its no fun when i am sitting all alone	neg	0.0258
so like if you got lvl 60 in early access did you stay lvl 60 after the full release	pos	0.4201
lol all of headlines r very misleading they assume you will not read the article palin believes trump will fix farright f ckups	neu	-0.0498
im not going to be able to stay awake until 200 am for daylight savings time this year	neu	0.0
life is what happens to you while you ’ re busy making other plansfollow for help with your dreams	pos	0.6597
anaheim has the rainbow ocean	neu	0.0
im a cunt loool	neg	-0.4939
i take my orisha involvement serious i do not play do not come in my house touching my alter that is a quick way to get kicked out	neg	-0.3261
the lurking man movie cast and crüe taking the film festivals by storm	pos	0.25
mississippi scores sam higgins a power play goal and the dawgs now trail 42	pos	0.34
hopefully they are not telling him to break up with noah	pos	0.4019
the un has always had and supported socialist communist leaders via	pos	0.3182
she was born after the war of the ancients so not young not old somewhere between 79 000 years	neg	-0.5994
i feel you na little jack daniels and dr strange	neu	-0.2023
reasons why i watch anime	neu	0.0
slip off to sunny spain with a 2 or 3 night stay in the bustling city of madrid stay at the …	pos	0.4215
you are welcome hunny well deserved my sexy hunky handsome babes so glad im actually cool with a celeb that	pos	0.9459
it pulled you away	neu	0.0
i love u bighead	pos	0.6369
look at my friend she is gorgeous i cant	pos	0.802
and my kids are better looking than most seriously i have some very handsome sons go figure	pos	0.6597
i just genuinely want everyone to be happy and on that note i can be at peace of what happens next	pos	0.8176
a loving heart is the truest wisdom ncharles dickens n nnadineon asapmarsorpresa n	pos	0.8807
stop you are just looking in all the wrong places for all the wrong reasons	neg	-0.8126
im so tired help	neg	-0.0553
thank you trump	pos	0.3612
im so nice too you	pos	0.4754
one of the best feeling in the world is when you are hugging the person you love and they hug you back even tighter	pos	0.9413
a loving heart is the truest wisdom ncharles dickens n nnadineon asapmarsorpresa n	pos	0.8807
are the property brothers and the avett brothers also brothers	neu	0.0
if you have a extra jamaican flag bring that bih to me at pangea greatly appreciated	pos	0.5563
btw wearing trendy pieces from forever 21 makes you the opposite of trendy	neu	0.0
i respect that you care i will not argue we all have wants and we all grow up to learn to live without them	pos	0.8093
it is really hard to pursue a creative endeavor when your overall sense of selfworth is all over the fucking place	pos	0.2975
i freaking know	neg	-0.4215
the only reason they were allowed to join is we needed the runways let them leave and let them fall	pos	0.25
everyones talkin about people bein mad about the bras but i aint even seein it i guess i have a good tl	pos	0.4118
incredibly happy for whole community is proud of all you guys	pos	0.796
you may have been cool in high school and college but as men mature we want experience not little girls with foolish ideas	pos	0.5492
i liked a video from produce 101 boys girls pick me 나야나 mashup	pos	0.4215
you asking or stating	neu	0.0
my fucking boy	neu	0.0
a loving heart is the truest wisdom ncharles dickens n nnadineon asapmarsorpresa n	pos	0.8807
i do not have cable	neu	0.0
it is so ridiculous what the fuck	neg	-0.7745
last call	neu	0.0
wow how very cool i would want these guys on it	pos	0.788
i entered to win spring break in the east or west	pos	0.5859
had a good time talking to the founder sheila about her reasons for creating the museum in 2009 all the challenge …	pos	0.6597
setting the clocks forward is fascism	neu	0.0
when dad makes his family tags post on fb he tags bae too	neu	0.0
tweets the ref tackled him we did not even get to see anything dj	neu	0.0
you yell a lot and confront people a lot	neg	-0.1779
yes poor officiating but when you are up 3 and lose by 2 it is on you at the end of the day	neg	-0.5789
so me an are acting like hard core gamers strategizing to kill the world no worries it is a game called plague	neg	-0.8225
wherever i go people make fun of the size of my fingers so i feel you cheem	pos	0.5106
might be going to the blad soon not sure yet what position you gonna play	pos	0.1124
i forgot one more blair waldorf gossip girl	neg	-0.2415
now i feel like you never kept it a buck wit me	pos	0.3612
does not matter how you feel inside put your best face on and keep it pushing	pos	0.6281
how many dogs must die at the iditarod before people agree to stop this dangerous and deadly sporting event	neg	-0.8034
i really appreciate your input thanks	pos	0.7089
oh that i will live as if i am the only picture of christ that those i encounter will see	neu	0.0
im praying she will be ok	pos	0.5719
tweets taking over the twitter is such a beautiful thing	pos	0.5994
it is so hot i have a headache	neu	0.0
im sorry ms jackson i am for reaaal	neu	-0.0772
im shocked i remember that decade too	neg	-0.3182
how long you there for	neu	0.0
leafs win and the ole ole we re so fucking great booted out of 1st in atlantic n njust doesn t get any better than this n	pos	0.9076
also today i read 10 or more volumes of vento aureo n njesus	neu	0.0
as long as i know you will always be by my side there will never by any reason for me to cry n nmarvoree mobeonasap	neg	-0.4767
faith baca buzzes through 22 rounds to win the colorado state spelling bee	pos	0.765
i get what i want 🤗	pos	0.0772
my dad is the daddest dad to ever live	pos	0.0
hey saw you chatting to o2 hope they sort you out check out our guide to mob insurance	pos	0.4404
you are the coolest dancer in the world	neu	0.0
sensual feeling because the man ’ s sexual ecstasy first sensual feeling sexual act whereas the female fluid is suffused with	pos	0.7096
what is it like to have clear skin not super dry hands be hydrated and well rested i would not know	pos	0.4685
rachel just told me that she prayed for me and i almost cried my heart is full	neg	-0.3197
thanks yazmin mccoy for following me i hope you enjoy my content	pos	0.8402
real talk i give myself a lot of bruises just from being clumsy and throwing my body full force at corners of doors and walls	neu	0.0
girl do not start you have a unknown in your icon	neu	0.0
no one ever told me you could just peel it off and use it again	neg	-0.296
im earning in mplus places	neu	0.0
timing on point	neu	0.0
i have 2 left in my account and not adding my that is why i said take my 2 beans lmao i will happily give you it xo	pos	0.8176
free download n nthe most comprehensive list of tips on earth	pos	0.6801
лав юю miss you happy birthday u0001f942	pos	0.4767
muthafucka who said i had easter jelly beans	neu	0.0
i just wanna chill wit sum girls but no ones texting back ️	neg	-0.4215
grandma refused to sell her house so the	neg	-0.296
i rted you	neu	0.0
john lee hi there we invite you to this porn cam no cost register click on my profile	neg	-0.1531
this is the most nerdy thing i ’ ll say today but i ’ m excited that i upgraded to a usb 30 flash drive	pos	0.4317
uhm wow	pos	0.5859
i better get a daylight savings eve paragraph 🤔	neg	0.4404
worst tweet of all time 11 k rt and 14 k likes for filming off his tv ffs	neg	-0.7269
this	neu	0.0
sorry but i do not hate camila so you have no point there	pos	0.1659
we have been dealt too many bad hands by career politicians shuffle the deck	neg	-0.5423
you mean in the hawkeye state	neu	0.0
think of what im thinking im just right	neu	0.0
i love listening to pnb rock	pos	0.6369
this was just ya average game something lite for you	neu	0.0
there were a lot of awesome moments as senior day went on but here are the best of the best	pos	0.9446
i just got to try one the other day they have a tiny bit more chocolate on bottom but the choc is not as good i think lbb is r btr	neg	-0.4782
goody	neu	0.0
if i let you know im here for you nmaybe you will love yourself like i love you	pos	0.8979
im reading colossians 33 via	neu	0.0
them with trash talk pussy let is go i want a hype match	neu	0.0772
i kinda wanna throw camilo his 3rd bday party invite other babies and shit	neu	-0.0772
im crying	neg	-0.4767
back to america i go 🇺 🇸 ️	neu	0.0
you must work in the morning that is the only reasonable explanation	neu	0.0
how is your stay in wisconsin so far enjoying the beer and food	pos	0.5688
im really expecting a dj khaled and 5h collab after the big hype he has with them and how much he likes them	pos	0.4215
i miss therapy i miss my job i miss how i looked like 3 years ago i fucking miss everything i dont have anymore and that includes my sanity	neg	-0.2263
the curve in the s8 is the ugliest thing ive ever seen	neg	-0.5859
i love a man with a big sexy mouth and other big things but that is for another time lawd he foine	pos	0.5859
well i did but unless a player is racist or homophobic you could not care less about banning them	neg	-0.8553
im seriously just sitting here worrying because coltons out and the snow will not stop coming down like tf	neu	0.0742
he is the sweetest thing that i know	neu	0.0
